mercado,benchmark,mdd_guardian,mdd_benchmark,reduccion_mdd_%,vol_guardian,vol_benchmark,reduccion_vol_%
US,1/N,-0.0564,-0.0631,10.6,0.1392,0.1307,-6.5
US,MaxSharpe,-0.0564,-0.0618,8.8,0.1392,0.1564,11.0
US,MinVar,-0.0564,-0.049,-15.2,0.1392,0.1149,-21.1
US,MLP,-0.0564,-0.0844,33.2,0.1392,0.1688,17.5
US,ANFIS,-0.0564,-0.0859,34.3,0.1392,0.1654,15.8
US,OWA-Visionary,-0.0564,-0.0936,39.7,0.1392,0.2091,33.4
CO,1/N,-0.0737,-0.0671,-9.9,0.1873,0.1621,-15.6
CO,MaxSharpe,-0.0737,-0.0633,-16.5,0.1873,0.2101,10.9
CO,MinVar,-0.0737,-0.0743,0.7,0.1873,0.1893,1.1
CO,MLP,-0.0737,-0.0736,-0.2,0.1873,0.1768,-6.0
CO,ANFIS,-0.0737,-0.0737,-0.1,0.1873,0.1683,-11.3
CO,OWA-Visionary,-0.0737,-0.0748,1.4,0.1873,0.2212,15.3
